species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
humpback,28345.51002348173,35.43024072521217,36.4841927045332,-1.4969960039013586,1,111.2,0.4,0.0,0.2,0.0,0.2,0.8,0.6,0.2,0.98,0.7,0.9,0.5,0.697,0.7,26.0,3168.48,morris,59,6,5
humpback,29742.92043912178,35.37086007142085,36.46879419659166,-1.4270523716581351,1,113.4,1.0,0.0,0.2,0.0,0.2,0.8,0.6,0.2,1.25,0.7,0.9,0.5,0.697,0.7,26.0,3168.48,morris,60,6,6
humpback,31819.16069170885,35.33198241756429,36.46368280075694,-1.8597068977583717,1,109.0,1.0,0.0,0.8,0.0,0.2,0.8,0.6,0.2,1.25,0.7,1.35,0.5,0.697,0.7,26.0,3168.48,morris,61,6,7
humpback,34805.82124395401,35.4676106574741,36.42359747507908,-2.0580740132730284,1,108.5,1.0,0.0,0.8,0.6,0.2,0.8,0.6,0.2,1.25,0.7,1.35,0.8,0.697,0.7,26.0,3168.48,morris,62,6,8
humpback,21257.103692101216,35.51919994728462,36.5260754355682,-2.414522409178744,1,98.4,0.0,1.0,0.6,0.4,0.0,0.0,0.0,0.6,0.8,1.0,1.2,0.7,0.595,0.3,20.0,4095.84,morris,63,7,0
humpback,20907.93994586862,35.574525819061364,36.56813857197375,-2.695472172925804,1,98.3,0.0,1.0,0.6,0.4,0.6,0.0,0.0,0.6,0.8,1.0,1.2,0.7,0.901,0.3,20.0,4095.84,morris,64,7,1
humpback,22938.87764433073,35.64275923931234,36.516968089540114,-2.844558789810037,1,97.8,0.0,1.0,0.6,1.0,0.6,0.0,0.0,0.6,0.8,1.0,1.2,1.0,0.901,0.3,20.0,4095.84,morris,65,7,2
humpback,22935.11310522537,35.64262417854195,36.516968089540796,-2.844632195673171,1,98.3,0.0,1.0,0.6,1.0,0.6,0.0,0.6,0.6,0.8,1.0,1.2,1.0,0.901,0.3,26.0,4095.84,morris,66,7,3
humpback,24574.147769193827,35.60537901330554,36.444401489234394,-2.872307845129626,1,103.7,0.6,1.0,0.6,1.0,0.6,0.0,0.6,0.6,1.07,1.0,1.2,1.0,0.901,0.3,26.0,4095.84,morris,67,7,4
humpback,22679.67581183837,35.627834011128755,36.433200738903054,-2.773463047960263,1,109.2,0.6,1.0,0.0,1.0,0.6,0.0,0.6,0.6,1.07,1.0,0.75,1.0,0.901,0.3,26.0,4095.84,morris,68,7,5
humpback,27429.362104029333,35.674958339181444,36.46616721941706,-2.0611539877638734,1,109.0,0.6,1.0,0.0,1.0,0.6,0.6,0.6,0.6,1.07,1.0,0.75,1.0,0.901,0.6,26.0,4095.84,morris,69,7,6
humpback,27395.29298386872,35.649697945804974,36.388965780571766,-2.0660767693779576,1,109.0,0.6,1.0,0.0,1.0,0.6,0.6,0.6,0.0,1.07,1.0,0.75,1.0,0.901,0.6,26.0,2704.7999999999997,morris,70,7,7
humpback,28544.122224056533,35.6234752840158,36.3338371928927,-2.0399272746441284,1,110.6,0.6,0.4,0.0,1.0,0.6,0.6,0.6,0.0,1.07,0.82,0.75,1.0,0.901,0.6,26.0,2704.7999999999997,morris,71,7,8
humpback,32082.1502303229,35.58279997994515,36.47787471102805,-1.8010677521143634,1,105.2,0.8,0.6,0.4,0.8,0.0,0.8,0.6,0.8,1.1600000000000001,0.88,1.05,0.9,0.595,0.7,26.0,4559.52,morris,72,8,0
humpback,31718.990021382237,35.62926546507674,36.520979915917906,-2.1544495198075992,1,98.9,0.8,0.6,0.4,0.8,0.6,0.8,0.6,0.8,1.1600000000000001,0.88,1.05,0.9,0.901,0.7,26.0,4559.52,morris,73,8,1
humpback,31725.181344817225,35.629420026436094,36.52064767096738,-2.153720378522962,1,89.9,0.8,0.6,0.4,0.8,0.6,0.8,0.0,0.8,1.1600000000000001,0.88,1.05,0.9,0.901,0.7,20.0,4559.52,morris,74,8,2
